model,arm,config_hash,recurrence_kind,task,split,difficulty,reasoning_steps,n_seeds,cos_last,cos_last_vs_seed,cos_min_after_first,token_acc,exact_match
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",1,3,0.26012195522586506,1.0,0.26012195522586506,0.9995009981229633,0.9940119760479043
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",2,3,0.7993471175432205,0.0,0.7993471175432205,0.9995841651024695,0.9950099800399202
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",4,3,0.9211363817254702,0.0,0.7993471175432205,0.998336660409878,0.9800399201596806
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",8,3,0.9668212787558635,0.0,0.8128911616901556,0.9992514971844452,0.9910179640718564
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",16,3,0.8468548009792963,0.0,0.7730404436588287,0.763556218462552,0.0
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,interp,"{""dim"": 1, ""distance"": 1, ""length"": 12, ""n_sources"": 1}",32,3,0.8869372035066286,0.0,0.7682764676089088,0.7929141629122927,0.0
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",1,3,0.26189665977532667,1.0,0.26189665977532667,0.9998331665396094,0.9979979979979979
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",2,3,0.8269793018698692,0.0,0.8269793018698692,0.9995829163490235,0.994994994994995
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",4,3,0.9300643255313238,0.0,0.8269793018698692,0.9991658326383827,0.990990990990991
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",8,3,0.9668448399752378,0.0,0.8190185806403557,0.9995829163490235,0.994994994994995
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",16,3,0.8983885968724886,0.0,0.8259424418210983,0.7515015015313337,0.008008008008008008
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,interp,"{""dim"": 1, ""distance"": 2, ""length"": 12, ""n_sources"": 1}",32,3,0.9144853794326385,0.0,0.7900153702745835,0.7814481081189335,0.001001001001001001
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",1,3,0.2528007148454587,1.0,0.2528007148454587,1.0,1.0
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",2,3,0.8068786685665449,0.0,0.8068786685665449,0.9999165832698047,0.998998998998999
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",4,3,0.937639536956946,0.0,0.8068786685665449,0.9996663330792188,0.995995995995996
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",8,3,0.933176102116704,0.0,0.8152025633802017,0.9999165832698047,0.998998998998999
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",16,3,0.8907290150721868,0.0,0.8034177199006081,0.7417417397429874,0.001001001001001001
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,interp,"{""dim"": 1, ""distance"": 4, ""length"": 12, ""n_sources"": 1}",32,3,0.9220027346163988,0.0,0.7679923943554362,0.7577577507173693,0.0
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",1,3,0.32427900470793247,1.0,0.32427900470793247,0.8663888921737671,0.21133333333333335
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",2,3,0.8140014087160429,0.0,0.8140014087160429,0.8921111123959223,0.13133333333333333
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",4,3,0.9273175050814947,0.0,0.8140014087160429,0.8373888846238454,0.008
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",8,3,0.9280482530593872,0.0,0.8191306920101246,0.8523888798157374,0.07866666666666666
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",16,3,0.8981072008609772,0.0,0.7796918079257011,0.7187222207784654,0.0006666666666666666
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,mild,"{""dim"": 1, ""distance"": 6, ""length"": 12, ""n_sources"": 1}",32,3,0.9183150151123604,0.0,0.775437127177914,0.7521666608452797,0.0
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",1,3,0.31200459754715365,1.0,0.31200459754715365,0.7412222170233727,0.011333333333333334
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",2,3,0.8473155200481415,0.0,0.8473155200481415,0.841055552482605,0.06733333333333334
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",4,3,0.9476823881268501,0.0,0.8473155200481415,0.7198333392143249,0.0
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",8,3,0.9383269858856996,0.0,0.844569144770503,0.746999997874101,0.002
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",16,3,0.9478553732236227,0.0,0.8301485379536947,0.6793888879517714,0.0
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,mild,"{""dim"": 1, ""distance"": 8, ""length"": 12, ""n_sources"": 1}",32,3,0.9286552754541239,0.0,0.8069146027167639,0.7338888855576515,0.0013333333333333333
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",1,3,0.7833492259184519,1.0,0.7833492259184519,0.7668333204984664,0.0
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",2,3,0.8559492280085882,0.0,0.8559492280085882,0.7649583204189936,0.0
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",4,3,0.9697079882025719,0.0,0.8559492280085882,0.7645833202997844,0.0
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",8,3,0.9820438971122106,0.0,0.8661959394812584,0.7622916538715363,0.0
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",16,3,0.9732175270716349,0.0,0.8559492280085882,0.7574860977331798,0.0
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,strong,"{""dim"": 1, ""distance"": 12, ""length"": 48, ""n_sources"": 1}",32,3,0.9770889592667421,0.0,0.8661959394812584,0.7644583211342493,0.0
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",1,3,0.7929201424121857,1.0,0.7929201424121857,0.634902779618899,0.0
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",2,3,0.8701108023524284,0.0,0.8701108023524284,0.6299166680971782,0.0
bdh_cq,bdh_cq/plain,75f014a16a02,plain,propagate,strong,"{""dim"": 1, ""distance"": 24, ""length"": 48, ""n_sources"": 1}",4,3,0.9543844809134802,0.0,0.8701108023524284,0.6288055577874184,0.0
